id,name,category,description,condition_age_min,condition_age_max,condition_status,condition_income_max,condition_hukou,amount
P001,高校毕业生到基层就业补贴,就业创业,鼓励高校毕业生到中小微企业或基层社会组织就业，依法缴纳社保满6个月即可申领。,18,28,学生/应届生,999999,否,3000元 一次性
P002,灵活就业人员社保补贴,就业创业,针对以个人身份缴纳城镇职工养老和医疗保险的就业困难人员及离校未就业毕业生。,18,55,待业/灵活就业,8000,否,最高 800元/月
P003,高龄老人综合津贴（尊老金）,养老服务,具有本市户籍且年满80周岁的老年人即可享受，按年龄段分档发放。,80,120,退休,999999,是,100-500元/月
P004,最低生活保障家庭救助金,民生保障,家庭人均月收入低于当地最低生活保障标准（如1500元）的困难家庭。,0,120,学生/应届生;在职;待业/灵活就业;退休,1500,是,按差额发放
P005,青年就业见习生活补贴,就业创业,16-24岁失业青年或毕业学年大学生参加政企合作的就业见习计划期间的生活费支持。,16,24,待业/灵活就业;学生/应届生,999999,是,当地最低工资的80%
P006,困难残疾人生活补贴,民生保障,针对纳入最低生活保障范围的残疾人，缓解其因残疾产生的额外生活支出困难。,0,120,学生/应届生;在职;待业/灵活就业;退休,1500,是,200元/月
P007,初创企业无息贷款及贴息,就业创业,针对毕业5年内的高校毕业生、登记失业人员等创办小微企业，提供免息资金支持。,18,45,待业/灵活就业;在职;学生/应届生,999999,否,最高 30万元
P008,经济困难失能老人居家照护补贴,养老服务,面向60周岁以上、低收入且经过失能评估的老人，发放用于购买上门洗浴、家政等服务的额度。,60,120,退休,2500,是,300元 服务券/月
P009,职业技能培训补贴,就业创业,本市户籍劳动者参加政府补贴类职业技能培训并取得证书，可申领培训费补贴。,18,55,在职;待业/灵活就业,5000,是,最高 3000元
P010,一次性创业补贴,就业创业,毕业2年内的高校毕业生、就业困难人员首次创办小微企业或个体经营并正常运营6个月以上，给予一次性资金扶持。,18,45,待业/灵活就业;学生/应届生,999999,是,10000元 一次性
P011,公益性岗位补贴,就业创业,对通过公益性岗位安置就业困难人员并缴纳社保的单位，给予岗位补贴和社会保险补贴。,18,55,待业/灵活就业,3000,是,按本地最低工资标准
P012,小微企业社保补贴,就业创业,小微企业招用毕业2年内高校毕业生并缴纳社保的，可获社保补贴返还。,22,35,在职,999999,否,单位缴纳部分全额返还
P013,返乡入乡创业补贴,就业创业,农民工、高校毕业生等返乡入乡创业，正常经营1年以上，可申领一次性创业扶持资金。,18,55,待业/灵活就业;在职,999999,否,5000-20000元
P014,临时救助金,民生保障,因突发重大疾病、意外事故等导致基本生活陷入困境的家庭，可申请临时性生活救助。,0,120,学生/应届生;在职;待业/灵活就业;退休,2000,是,按实际困难发放
P015,困境儿童基本生活费,民生保障,对孤儿、事实无人抚养儿童、重病重残儿童等困境未成年人按月发放基本生活费补贴。,0,18,学生/应届生,3000,是,500-1500元/月
P016,重残护理补贴,民生保障,对评定为一级、二级重度残疾且需要长期照护的人员，发放护理补贴。,0,120,学生/应届生;在职;待业/灵活就业;退休,3000,是,300-600元/月
P017,城乡居民医保缴费减免,民生保障,对城乡低保对象、特困人员、重度残疾人参加城乡居民医保的个人缴费部分予以全额或部分减免。,0,120,学生/应届生;在职;待业/灵活就业;退休,2000,是,个人缴费全免
P018,义务兵家庭优待金,民生保障,对参军入伍青年的家庭发放优待金，服役期间按年度发放。,18,24,学生/应届生;待业/灵活就业,999999,是,20000-40000元/年
P019,社区长者食堂助餐补贴,养老服务,本市户籍60周岁以上老年人到社区长者食堂就餐，每餐享受定额补贴。,60,120,退休,5000,是,5-10元/餐
P020,居家适老化改造补贴,养老服务,对困难老年人家庭实施居家适老化改造，包括安装扶手、地面防滑、紧急呼叫等设施。,65,120,退休,3000,是,最高 8000元
P021,高龄老人意外伤害保险,养老服务,由政府统一为80周岁以上户籍老年人购买意外伤害综合保险，含意外医疗和意外住院津贴。,80,120,退休,999999,是,保额 20000元/年
P022,公共租赁住房租金补贴,住房补贴,城镇中低收入住房困难家庭承租公租房，按收入水平和家庭人口给予梯度化租金减免。,18,120,在职;待业/灵活就业;退休,4000,是,减免30%-90%租金
P023,人才安居租房补贴,住房补贴,新引进的全日制本科及以上学历毕业生在本地就业并租房的可申领安居补贴。,22,35,在职,999999,否,600-1500元/月
P024,高校毕业生灵活就业社保补贴,就业创业,毕业2年内高校毕业生以灵活就业身份参加社保的，给予个人缴纳部分的社保补贴返还。,22,35,待业/灵活就业,8000,否,最高 6000元/年
P025,就业困难人员认定及社保补贴,就业创业,对认定为就业困难人员并实现灵活就业的，给予认定后缴纳社保的定额补贴。,18,55,待业/灵活就业,5000,是,定额 500元/月
P026,退役军人创业扶持补贴,就业创业,自主就业退役士兵从事个体经营或创办企业的，给予一次性创业启动资金和税收减免。,20,50,待业/灵活就业;在职,999999,否,10000-50000元
P027,残疾人就业创业扶持,就业创业,持证残疾人从事个体经营或通过电商等新业态就业的，给予经营场所租金补贴和设备购置补贴。,18,55,待业/灵活就业;在职,5000,是,最高 20000元
P028,农村劳动力转移就业交通补贴,就业创业,农村户籍劳动力跨县转移就业并稳定务工3个月以上的，给予一次性交通费用补贴。,16,55,在职;待业/灵活就业,8000,否,500-1000元 一次性
P029,青年就业见习岗位补贴,就业创业,企事业单位设立青年就业见习岗位，接收毕业学年及离校未就业高校毕业生见习的，岗位单位可获补贴。,18,28,待业/灵活就业;学生/应届生,999999,否,当地最低工资60%
P030,零就业家庭就业援助,就业创业,对家庭成员全部失业的零就业家庭，提供公益性岗位兜底安置，并给予岗位补贴。,18,55,待业/灵活就业,4000,是,按最低工资标准+社保补贴
P031,困难群众医疗救助,民生保障,对特困人员、低保对象、低收入家庭成员等参加城乡居民医保后，合规医疗费用在报销基础上再给予救助。,0,120,学生/应届生;在职;待业/灵活就业;退休,3000,是,最高 10万元/年
P032,特困人员供养保障,民生保障,对无劳动能力、无生活来源、无法定义务人的城乡居民，提供基本生活、照料服务、医疗服务等全方位保障。,0,120,退休;待业/灵活就业,1000,是,全额生活保障+照护
P033,困难家庭取暖补贴,民生保障,对城乡低保家庭、低收入家庭冬季取暖给予货币化补贴，按采暖面积或户发放。,0,120,学生/应届生;在职;待业/灵活就业;退休,2500,是,800-2000元/采暖季
P034,残疾人辅助器具适配补贴,民生保障,持证残疾人配置假肢、矫形器、轮椅、助听器等辅助器具，政府按目录给予适配补贴。,0,120,学生/应届生;在职;待业/灵活就业;退休,5000,是,最高 5000元/件
P035,困难学生教育救助,民生保障,低保家庭、特困家庭子女在义务教育阶段可申请生活费补助，高中及以上可申请学费减免。,6,25,学生/应届生,2500,是,1000-5000元/年
P036,严重精神障碍患者监护补贴,民生保障,对严重精神障碍患者监护人给予监护补贴，鼓励家属履行监护责任。,18,60,在职;待业/灵活就业,5000,是,200-400元/月
P037,见义勇为人员抚恤补助,民生保障,对认定为见义勇为的人员及其家庭，根据伤残等级或牺牲情况给予抚恤金和定期生活补助。,0,120,学生/应届生;在职;待业/灵活就业;退休,999999,否,5000-200000元
P038,老年人免费健康体检,养老服务,本市户籍65周岁以上老年人每年可享受一次免费健康体检，含常规体格检查、血常规、尿常规、肝功能等。,65,120,退休,999999,是,免费体检 1次/年
